Over50K,Age_leq_21,Age_geq_60,EmployedInPrivateSector,EmployedInPublicSector,Bachelors,Graduate,NoHS,JobManagerial,JobAdministrative,JobArmedForces,JobService,JobAgriculture,Married,WorkHrsPerWeek_lt_40,WorkHrsPerWeek_geq_50,Male,White,Immigrant,AnyCapitalGainsInLastYear,AnyCapitalLossInLastYear
0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0
0,1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,1,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0
1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0
1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,1,0
1,1,0,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0
0,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,0,0
1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,0,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0
0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1
0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0
1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1
1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,1,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0
0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0
0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0
1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0
0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0
